gender,Age,subcounty,Ward,headhhold,Norelationship,hholdnumber,educationlevel,farmingyears,tenancyarrangement,employmentoutsidefarming,yesemployment,sourceofincome,annualofffarmincome,annualfarmincome,totallandsize,cultivatedownedlandsize,cultivatedrentedlandsize,savingaccount,insurancepolicy,membership,yesgroupname,takenloan,source,purpose,value,maizeproduction,maizelandsizeallocated2014,maizelandsizeallocated2013,maizelandsizeallocated2012,dairyproduction,dairylandsize2015,dairylandsize2014,dairylandsize2013,localpoultyproduction,localpoultylandsize2014,localpoultylandsize2013,localpoultylandsize2012,rabbitproduction,rabbitlandsize2014,rabbitlandsize2013,rabbitlandsize2012,bananaproduction,bananalandsize2014,bananalandsize2013,bananalandsize2012,coffeeproduction,coffeelandsize2014,coffeelandsize2013,coffeelandsize2012,others,extensionagentvisit,soughtextensionservices,landmaizeleased,yesfortotalcost,landpreparation,yesformechanizedcost,puchaseofseedcrop,yestotalseedcost,fertilizerapplication,yesfertilizertype,yestotalcostoffertilizer,chemicalapplication,yesforchemicaltype,yesforchemicalcost,materialusedinmaize,yesmaterialused,yesmaterialcost,labourcost,totallabourcost,totalproductioncost,inputcredit,yesfromwho,payback,understandingindexinsurance,perceptionweatherrisk,purchaseindexinsurance2014,yesotheryear,coverforinsurance,yesforcost,noforreason,informationforpurchase
2,5,1,1,1, ,5,4,9,3,0, ,1, ,5,130,130,20,1,1,1,Alphia Dairy g,1,2,farming,8000000,1,50,50,50,1,30,30,30,1,.125,.125,.125,0, , , ,1,.25,.25,.25,0, , , , ,1,1,1,200000,1,1200000,1,750000,1,1,5,1,1,2,1,7,5,1,3,3,1,3,1,1,1,1,4,2, , ,4
2,2,1,1,0,2,3,4,10,1,0, ,1, ,4,5,5,1,1,0,1,mazuri farmers,1,5,farming,24000,1,5,3,5,0, , , ,0, , , ,0, , , ,1,2,1,1,0, , , , ,0,0,0, ,1,22500,1,75000,1,1,3,0,2,1,1,1,3,1,2,3,0,3,1,0,1,0,4,2, ,2, 
1,3,1,1,1, ,6,3,5,2,0, ,1, ,4,22,20, ,1,1,0, ,1,2,farming,500000,1,20,20,20,1,2,2,2,0, , , ,0, , , ,0, , , ,0, , , , ,1,0,0, ,1,99000,1,36000,1,6,3,1,5,3,1,7,2,1,1,3,1,3,1,1,1,1,5,2, , ,4
1,5,1,1,1, ,10,1,30,1,0, ,1, ,5,27,25, ,1,1,0, ,1,2,farming,650000,1,25,25,25,0, , , ,0, , , ,0, , , ,1,2,2,2,0, , , , ,1,1,0, ,1,112500,1,45000,1,6,2,1,5,3,1,7,1,1,2,4,1,3,1,1,1,1,4,2,88100, ,4
2,4,1,1,1, ,5,3,12,1,0, ,1, ,5,15,13, ,1,1,0, ,1,2,farming,120000,1,13,13,13,1,2,2,2,0, , , ,0, , , ,0, , , ,0, , , , ,1,0,0, ,1,58500,1,23400,1,6,2,1,5,1,1,8,2,1,2,1,1,3,1,1,1,1,5,2, , ,4
1,3,1,1,0,2,7,4,7,4,0, ,1, ,5,35,30, ,1,1,0, ,1,2,farming,900000,1,30,30,30,1,3,3,3,0, , , ,0, , , ,1,2,2,2,0, , , , ,1,1,0, ,1,135000,1,54000,1,6,3,1,5,3,1,7,2,1,2,4,1,3,1,1,1,1,4,2, , ,4
1,2,1,1,1, ,4,4,5,2,0, ,1, ,5,6,5, ,1,1,0, ,1,2,farmng,50000,1,5,5,5,0, , , ,0, , , ,0, , , ,0, , , ,0, , , , ,1,0,0, ,1,22500,1,9000,1,6,1,1,5,1,1,8,1,1,1,1,1,3,1,1,1,1,4,2, , ,4
1,2,1,3,0,2,9,4,15,4,0, ,1, ,4,7,5, ,1,0,0, ,0, , , ,1,5,5,5,0, , , ,0, , , ,0, , , ,0, , , ,1,.5,.5,.5, ,1,1,0, ,1,22000,1,75000,1,1,50000,0,2,1,1,7,4,1,3,3,0,3,1,1,1,0,5,2, ,1, 
1,4,1,2,1, ,17,3,30,4,0, ,1, ,5,23,23, ,1,1,1,kikwamet SHG,1,3,Dairy,60000,1,12,12,12,1,8,8,8,0, , , ,0, , , ,1,2,2,2,0, , , , ,1,0,0, ,1,54000,1,180000,1,1,88800,1,4,1,1,2,3,1,1,2,1,3,1,1,1,1,5,2, , ,4
1,4,1,2,1, ,12,3,23,4,0, ,1, ,5,10,10, ,1,1,0, ,1,7,farming,550000,1,10,10,10,0, , , ,0, , , ,0, , , ,0, , , ,0, , , , ,1,0,0, ,1,83000,1,15000,1,6,70000,1,4,2,1,7,3,1,1,3,1,3,2,1,1,1,5,1, , ,4
1,5,1,2,1, ,11,2,5,3,0, ,1, ,5,3,3,5,1,1,1,kikwamet SHG,1,2,Farming,150000,1,5,5,5,0, , , ,1,.0625,.0625,.0625,0, , , ,1,1,1,1,0, , , , ,0,0,1,75000,1,15000,1,75000,1,1,43000,1,2,1,1,7,2,1,1,2,1,3,1,1,1,1,5,2, , ,4
1,3,1,2,1, ,4,3,15,2,0, ,1, ,5,30,30, ,1,1,1,kikwamet SHG,1,2,farming,650000,1,25,25,25,1,3,3,3,0, , , , , , , ,1, , , ,1,1.5,1.5,1.5, ,1,1,0, ,1,93750,1,375000,1,6,180000,1,2,2,1,7,2,1,1,5,1,3,1,1,1,1,5,2, , ,4
1,2,1,2,1, ,4,3,10,2,0, ,1, ,5,20,20, ,1,1,0, ,0, , , ,1,20,20,20,0, , , ,0, , , ,0, , , ,0, , , ,0, , , , ,1,0,0, ,1,90000,1,300000,1,1,144000,1,2,1,1,2,2,1,1,4,1,3,2,1,1,1,5,2, , ,4
1,4,1,2,1, ,8,4,20,4,0, ,1, ,5,20,8, ,1,1,0, ,1,2,farming,360000,1,8,8,12,0, , , ,0, , , ,0, , , ,0, , , ,0, , , , ,1,0,0, ,1,64400,1,12000,1,6,56080,1,4,1,1,7,4,1,1,2,1,3,2,1,1,1,5,2, , ,4
1,3,1,1,0,3,5,4,16,4,1,1,1,4,5,60,60, ,1,1,1,teachers sacco,0, , , ,1,60,60,60,0, , , ,0, , , ,0, , , ,0, , , ,0, , , , ,1,1,0, ,1,180000,1,900000,1,1,432000,1,2,4,1,2,3,1,1,8,1,3,1,1,1,1,5,1, , ,4
1,3,1,1,1, ,5,4,10,3,0, ,1, ,5,10,10,50,1,1,0, ,0, , , ,1,10,10,10,0, , , ,0, , , ,0, , , ,0, , , ,0, , , , ,1,0,1,500000,1,100000,1,600000,1,1,352000,1,2,1,1,2,2,1,1,6,1,3,1,0,0,1,3,1, , ,4
1,3,1,1,1, ,4,4,16,4,0,1,1,4,5,11,11, ,1,1,1,teachers sacco,0, , , ,1,10,10,10,0, , , ,0, , , ,0, , , ,1,.5,.5,.5,0, , , , ,1,1,0, ,1,25000,1,150000,1,1,72000,1,2,1,1,7,1,1,1,3,1,3,2,1,1,1,5,2, , ,4
1,3,1,1,1, ,6,4,20,2,0, ,1, ,5,250,70, ,1,1,0, ,1,2,farming,2100000,1,170,100,70,1,50,50,50,0, , , ,0, , , ,0, , , ,0, , , , ,1,1,0, ,1,500000,1,1050000,1,1,532000,1,2,3,1,7,4,1,2,8,1,3,1,1,1,1,3,2, , ,4
1,4,1,2,1, ,9,4,16,2,0, ,1, ,5,22,22, ,1,1,1,kamusinde coff,1,2,farming,480000,1,12,12,12,1,7,7,7,1,1,1,1,0, , , ,1,1,1,1,1,1,1,1, ,1,1,0, ,1,80000,1,150000,1,6,84000,1,4,1,1,7,3,1,1,3,1,3,1,1,1,1,4,1, , ,4
1,4,1,4,1, ,5,4,20,4,1,1,1,5,5,10,3,30,1,0,1,mois bridge sa,0, , , ,1,33,33,33,0, , , ,0, , , ,0, , , ,0, , , ,0, , , , ,0,0,1,300000,1,66000,1,59400,1,3,224400,1,2,1,1,7,5,1, ,6,0, , ,0,0,0, , , ,0,0
